360;248
1;45;833
2;107;615
3;130;350
4;111;527
5;34;211
6;1;662
7;191;465
8;145;235
9;67;242
10;8;898
11;82;663
12;171;569
13;109;739
14;121;432
15;83;822
16;88;570
17;88;633
18;67;220
19;71;629
20;148;873
21;40;313
22;20;109
23;121;576
24;76;595
25;185;449
26;53;535
27;167;263
28;179;596
29;19;747
30;195;245
31;147;577
32;185;347
33;175;459
34;145;260
35;168;775
36;50;823
37;198;791
38;85;744
39;55;826
40;69;853
41;109;738
42;64;232
43;57;810
44;170;83
45;115;454
46;82;868
47;25;134
48;198;589
49;16;292
50;86;898
51;192;882
52;166;753
53;96;328
54;38;265
55;115;426
56;176;226
57;10;806
58;41;324
59;40;550
60;170;137
61;37;721
62;85;643
63;145;130
64;141;341
65;98;69
66;71;499
67;24;80
68;162;506
69;159;484
70;46;866
71;107;321
72;72;599
73;87;580
74;23;691
75;36;777
76;171;93
77;158;533
78;183;725
79;6;83
80;9;194
81;143;607
82;68;839
83;102;789
84;138;551
85;20;393
86;109;255
87;95;507
88;68;869
89;194;684
90;150;550
91;23;15
92;161;859
93;6;490
94;197;17
95;91;816
96;117;584
97;129;75
98;74;394
99;91;581
100;29;151
101;99;775
102;94;360
103;88;344
104;85;587
105;122;267
106;24;849
107;30;735
108;128;766
109;95;625
110;146;704
111;53;346
112;48;80
113;176;204
114;74;519
115;6;633
116;196;243
117;76;423
118;103;314
119;184;363
120;11;703
121;189;593
122;130;841
123;65;649
124;136;434
125;194;570
126;142;712
127;55;32
128;128;584
129;51;365
130;52;600
131;111;637
132;8;181
133;135;460
134;15;807
135;102;218
136;149;308
137;109;594
138;171;539
139;173;170
140;135;857
141;23;8
142;108;737
143;31;211
144;193;267
145;24;772
146;137;530
147;8;128
148;98;878
149;174;3
150;89;809
151;111;63
152;78;442
153;108;107
154;9;644
155;125;765
156;101;292
157;146;234
158;63;126
159;104;875
160;139;467
161;173;447
162;31;493
163;45;322
164;51;85
165;171;189
166;50;211
167;170;777
168;47;300
169;192;291
170;91;722
171;12;247
172;186;170
173;149;247
174;161;666
175;162;658
176;116;611
177;13;3
178;129;821
179;114;886
180;125;8
181;83;638
182;56;430
183;14;820
184;53;519
185;4;801
186;39;609
187;106;784
188;85;641
189;85;421
190;53;373
191;92;75
192;117;407
193;130;331
194;92;535
195;72;425
196;20;125
197;111;221
198;3;169
199;194;293
200;151;830
201;32;87
202;179;118
203;17;153
204;150;572
205;149;540
206;32;560
207;149;79
208;174;370
209;134;835
210;93;811
211;153;344
212;176;527
213;6;520
214;134;571
215;120;633
216;109;724
217;26;849
218;38;129
219;74;465
220;17;357
221;78;670
222;83;193
223;46;80
224;44;429
225;47;597
226;121;879
227;126;730
228;79;477
229;23;563
230;10;357
231;29;695
232;44;187
233;9;28
234;47;662
235;17;499
236;93;374
237;27;63
238;194;110
239;44;74
240;150;831
241;169;429
242;81;161
243;161;415
244;11;243
245;178;300
246;175;467
247;143;322
248;158;837
249;100;152
250;155;517
251;134;349
252;52;708
253;56;382
254;35;358
255;95;137
256;108;154
257;40;428
258;154;256
259;46;651
260;171;124
261;38;674
262;171;123
263;63;86
264;108;661
265;13;851
266;36;233
267;197;627
268;76;164
269;47;196
270;49;730
271;58;403
272;123;303
273;100;514
274;36;481
275;133;175
276;74;259
277;124;526
278;180;195
279;94;690
280;62;807
281;27;837
282;162;233
283;60;357
284;71;349
285;11;305
286;82;564
287;158;460
288;143;408
289;164;719
290;76;766
291;43;398
292;6;615
293;189;645
294;39;63
295;51;392
296;4;157
297;11;280
298;165;304
299;29;267
300;163;562
301;113;533
302;152;311
303;101;735
304;100;710
305;182;44
306;13;626
307;100;199
308;74;667
309;146;654
310;61;162
311;8;19
